Time,Accel. Pedal[%],Ambient Pressure[psig],Boost (Pre-Throttle)[psig],Boost pressure (Target)[psig],Coolant Temp[F],Engine speed[rpm],Gear Actual[],HPFP (Target)[psig],HPFP Act.[psig],IAT[F],Ignition Cyl 1[deg],Ignition Timing 1[deg],Ignition Timing 2[deg],Ignition Timing 3[deg],Ignition Timing 4[deg],Knock Detected[0/1],LPFP Act. (Raw)[psig],Lambda[AFR],Lambda Act. (Bank 1)[AFR],Lambda Control Factor (Bank 1) - Faster[AFR],Load Act. (Rel.)[%],Load Target (Rel.)[%],MAF[lb/min],MAP[psig],Mass flow HFM[lb/min],Oil Temp[F],Relative Air Filling[%],STFT[],Throttle Angle[%],Vehicle Speed[mph],Wastegate Duty Cycle (Bank 1)[%],bootmod3_0.40.029_unknown,638df7bbd10b43b2d827be02
2.164,100,-0.1,16.5,14.7,212,3469,3,2882,2890,64,5.2,5.8,4.5,4.1,5.8,0,84,12.32,12.32,16.54,99.6,182.2,488.0,14.7,564.3,217,243,1.12,40,38,87,
2.210,100,-0.1,16.8,14.8,212,3501,3,2882,2886,63,5.2,5.8,4.5,4.1,5.8,0,84,12.05,12.05,16.33,99.6,181.5,492.0,14.7,538.9,217,242,1.11,36,38,85,
2.255,100,-0.1,16.8,14.9,212,3544,3,2882,2887,63,5.2,5.8,4.5,4.1,5.8,0,84,12.16,12.16,16.34,98.8,180.7,496.0,14.7,531.5,217,242,1.11,35,38,86,
2.294,100,-0.1,16.5,15.1,212,3586,3,2882,2874,63,5.2,5.8,4.5,4.5,5.8,0,84,12.13,12.13,16.23,98.0,180.7,500.0,14.8,523.1,217,241,1.10,38,38,86,
2.335,100,-0.1,16.2,15.3,212,3636,3,2882,2867,63,5.2,5.6,4.5,4.5,5.6,0,84,12.16,12.16,16.19,97.6,183.0,512.0,15.1,544.1,217,241,1.10,43,39,88,
2.385,100,-0.1,16.0,15.6,212,3675,3,2882,2879,63,4.5,5.0,4.8,4.5,5.0,0,84,12.24,12.24,16.22,98.8,185.2,524.0,15.5,582.0,217,244,1.10,56,39,90,
2.425,100,-0.1,16.3,15.9,212,3707,3,2882,2895,63,4.5,5.0,4.3,4.0,5.0,0,84,12.28,12.28,16.24,98.8,187.5,536.0,15.9,620.0,217,250,1.10,74,40,90,
2.475,100,-0.1,16.7,16.3,212,3735,3,2882,2888,63,5.2,5.3,4.3,4.0,5.3,0,84,12.11,12.11,16.09,98.8,189.0,544.0,16.3,635.3,217,252,1.09,87,41,90,
2.515,100,-0.1,17.3,16.6,212,3782,3,2882,2897,61,4.5,4.5,3.8,3.5,4.5,0,84,12.31,12.31,16.17,99.2,191.2,560.0,16.8,669.4,217,255,1.10,82,41,89,
2.560,100,-0.1,17.9,16.9,212,3819,3,2882,2898,61,4.5,4.5,3.8,3.5,4.5,0,84,12.39,12.39,16.23,99.6,191.2,568.0,17.2,703.5,217,255,1.10,70,41,89,
2.605,100,-0.1,18.5,17.2,212,3858,3,2882,2897,61,3.7,4.1,3.8,3.5,4.1,0,84,12.28,12.28,16.16,99.6,191.2,576.0,17.5,708.0,217,255,1.09,58,41,89,
2.655,100,-0.1,19.3,17.7,212,3892,3,2882,2883,61,3.7,4.0,3.3,3.3,4.0,0,84,12.35,12.35,16.23,99.6,191.2,588.0,17.9,721.1,217,255,1.10,48,42,88,
2.705,100,-0.1,20.1,18.0,212,3942,3,2882,2876,60,3.7,4.0,3.7,3.3,4.0,0,84,12.27,12.27,16.18,99.2,191.2,600.0,18.2,729.9,217,255,1.10,43,42,87,
2.754,100,-0.1,20.8,18.5,212,3992,3,2882,2876,60,3.7,4.1,3.7,3.3,4.1,0,84,12.22,12.22,16.15,99.2,191.2,608.0,18.3,721.8,217,255,1.09,38,43,87,
2.804,100,-0.1,21.1,18.7,212,4032,3,2882,2885,60,4.5,4.6,4.2,3.8,4.6,0,84,12.23,12.23,16.09,98.8,191.2,620.0,18.7,717.5,217,255,1.09,38,44,87,
2.855,100,-0.1,21.4,18.8,212,4080,3,2882,2877,60,3.7,4.4,4.2,3.8,4.4,0,84,12.18,12.18,16.01,99.6,191.2,624.0,18.8,711.3,217,255,1.08,37,44,87,
2.905,100,-0.1,21.5,18.9,212,4117,3,2882,2874,60,4.5,4.7,4.2,3.8,4.7,0,84,12.12,12.12,15.88,99.2,191.2,632.0,18.9,709.3,217,255,1.08,37,45,87,
2.955,100,-0.1,21.6,19.0,212,4161,3,2882,2891,60,3.7,4.3,3.7,3.7,4.3,0,84,12.24,12.24,15.89,99.6,191.2,640.0,19.0,711.8,217,255,1.08,37,45,87,
2.995,100,-0.1,21.7,19.1,212,4208,3,2882,2898,60,3.7,4.2,4.1,3.7,4.2,0,84,12.30,12.30,15.89,99.6,191.2,652.0,19.1,716.4,217,255,1.08,38,45,87,
3.045,100,-0.1,21.8,19.1,212,4253,3,2882,2879,60,3.7,4.2,4.1,3.7,4.2,0,84,12.30,12.30,15.90,99.6,191.2,656.0,19.1,722.6,217,255,1.08,38,46,86,
3.085,100,-0.1,21.8,19.1,212,4290,3,2882,2877,60,4.5,4.7,4.6,4.2,4.7,0,84,12.23,12.23,15.83,99.6,191.2,664.0,19.1,732.3,217,255,1.07,38,46,86,
3.134,100,-0.1,21.9,19.2,212,4332,3,2882,2902,59,4.5,4.7,4.6,4.2,4.7,0,84,12.19,12.19,15.75,99.6,191.2,672.0,19.2,737.1,217,255,1.07,38,47,86,
